bondLen1,bondLen2,bondAng,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,intgErr,sampNum
1.817021,3.14462484,0.72717291,0.61198063,-1.76E-06,0.1561264,0.00154759,0.01590326,4.26E-06,5E-06,-0.01917913,4.686E-05,8.4E-06,0.05620003,-0.00038155,9.22E-06,-1.683E-05,-0.07910997,-0.00650838,0.07635016,-1.755E-05,-1.779E-05,-0.11184229,-0.00234216,-6.785E-05,3.57E-06,0.14171022,0.01900634,6.41E-07,32
1.93311871,3.03481895,0.6560172,0.58634517,-2.4E-07,0.15634233,0.00010409,0.00479972,-8.9E-07,-4.7E-06,0.00016936,0.00142681,-3.58E-05,0.07669699,-0.00043226,-3.139E-05,1.893E-05,-0.10411234,-0.0067369,0.07800341,9.075E-05,0.00015254,-0.11240657,-0.00144203,0.00017763,7.348E-05,0.13757949,0.01467943,1E-06,33
2.04289232,3.36462479,0.50241622,0.58577924,-1.34E-06,0.1448123,-0.00319693,-0.00508603,4.61E-06,-6.66E-06,0.0166547,0.00691262,7.99E-06,0.08462663,0.00170192,1.499E-05,1.671E-05,-0.11291773,-0.01044483,0.06750772,1.026E-05,-9.68E-05,-0.09764777,-0.00151788,-0.00013613,-3.95E-05,0.11466943,0.00703399,2.79E-06,34
1.63903254,3.31969051,0.58049227,0.65642277,-1.2E-06,0.1439749,0.00198802,0.02616651,5.3E-06,1.18E-06,-0.03826982,0.00152944,1.317E-05,0.02383447,0.00153452,1.29E-06,-4.27E-06,-0.038346,-0.00865759,0.05491875,-1.165E-05,-4.518E-05,-0.08299693,-0.0059093,-6.22E-05,-1.569E-05,0.10962822,0.01906528,5.27E-06,35
1.58370316,2.59238144,0.66012046,0.64022588,-6.7E-07,0.15139788,0.00068232,0.02869772,1.81E-06,-1.8E-07,-0.04207656,0.000341,-2.27E-06,0.0220868,-0.00016399,-3.59E-06,2.1E-06,-0.03753972,-0.00332525,0.05581433,1.375E-05,1.139E-05,-0.08377664,-0.00097207,8.01E-06,9.3E-07,0.11263941,0.00921863,3.06E-06,36
1.59317681,2.259893,0.80933789,0.62186054,2.33E-06,0.15909841,0.00338454,0.02714137,-9.42E-06,-1.92E-06,-0.04520569,-0.00641036,3.13E-06,0.02928721,-0.00521188,2.073E-05,1.133E-05,-0.03862169,0.00470617,0.06524769,-0.0001054,2.702E-05,-0.09348156,0.00743197,-2.667E-05,-2.02E-05,0.12167991,0.00822801,2.56E-07,37
1.99084128,2.80905179,0.81916824,0.55179472,-2.01E-06,0.16362549,0.00312928,-0.00477341,7.2E-07,-5.09E-06,0.00839703,-0.00548652,-1.365E-05,0.09452497,-0.00637855,-1.003E-05,1.923E-05,-0.11776652,-0.00645329,0.07951968,-5.851E-05,-4.462E-05,-0.10766499,0.00124076,7.325E-05,-6.63E-06,0.14456044,0.03576335,1.87E-06,38
1.66859489,2.36714295,0.81394056,0.61492616,-1.04E-06,0.16043358,0.00324725,0.02329942,8.15E-06,-3.96E-06,-0.03859954,-0.00628817,-1.618E-05,0.0400538,-0.0054427,-3.01E-05,1.924E-05,-0.0517901,0.00345529,0.07277409,0.00022641,-7.231E-05,-0.10342555,0.00685642,9.938E-05,-6.858E-05,0.1341971,0.01242644,1.84E-06,39
1.84629289,2.86283515,0.73154194,0.59825344,1.84E-06,0.15926164,0.00123085,0.01254136,-5.47E-06,-3.72E-06,-0.01449843,-0.00121172,5.18E-06,0.06452753,-0.00182376,1.12E-06,1.757E-05,-0.08801042,-0.00386229,0.07993451,-4.31E-05,8.98E-06,-0.11550078,-0.0001615,3.69E-05,-1.291E-05,0.14578759,0.01661925,9.39E-07,40
2.04861805,3.15295018,0.4326061,0.59969689,2.91E-06,0.13974194,-0.00492541,-0.00433779,-7.65E-06,1.34E-06,0.01491306,0.00800117,-3.208E-05,0.08008546,0.00182354,-4.092E-05,-2.016E-05,-0.10741136,-0.00914967,0.06521463,5.87E-06,0.00023684,-0.09511961,-0.00083648,0.00022449,0.00013202,0.11180598,0.00306126,1.05E-06,41
1.59381026,2.84607961,0.69856319,0.64207895,-4.2E-07,0.15114567,0.00162693,0.02890188,1.96E-06,-1.8E-07,-0.0419082,-0.00022005,-1.69E-06,0.02203246,2.086E-05,-4.47E-06,2.69E-06,-0.0377634,-0.00421716,0.05600618,1.744E-05,2.356E-05,-0.08422731,-0.00225131,1.205E-05,-4.75E-06,0.11316387,0.01311559,3.52E-06,42
1.72698371,3.00823877,0.54665934,0.64697247,-4.6E-07,0.14492385,0.00044014,0.02133445,7.2E-07,5.41E-06,-0.02983013,0.00287355,1.173E-05,0.03590563,0.00159699,1.347E-05,-2.864E-05,-0.05375474,-0.00872781,0.0626538,-6.038E-05,-7.146E-05,-0.09356954,-0.0045971,-7.913E-05,3.54E-05,0.12179423,0.01586066,1.23E-06,43
2.15656676,3.29683385,0.68068421,0.51202804,-2.92E-06,0.15035243,-0.0005615,-0.02381689,4.59E-06,1.04E-05,0.04871747,0.00157908,-7.6E-06,0.11083714,-0.00197579,1.557E-05,-2.109E-05,-0.14204942,-0.00962273,0.04899726,6.102E-05,6.005E-05,-0.06573025,-0.00054481,-1.944E-05,-3.367E-05,0.07401992,0.01519992,1.3E-06,44
1.70999089,2.83180332,0.50220006,0.65400865,2.1E-07,0.14225645,-0.00035425,0.02191325,-1.38E-06,1.91E-06,-0.03129546,0.00355405,7.28E-06,0.03233627,0.00175797,9.5E-06,-5.89E-06,-0.04900044,-0.00852016,0.05932935,-4.704E-05,-2.206E-05,-0.08886223,-0.00448574,-3.853E-05,-8.04E-06,0.11632202,0.01376839,1.03E-06,45
2.04299228,3.21749142,0.5454721,0.57288817,2.8E-07,0.14854105,-0.00267272,-0.00627454,3E-08,-7.35E-06,0.01963727,0.00543054,-4.06E-06,0.08871514,0.00094041,-4.49E-06,1.276E-05,-0.11844384,-0.00870906,0.06842816,-8.79E-06,7.117E-05,-0.09781509,-0.00102726,-3.334E-05,4.698E-05,0.11336939,0.00705508,1.41E-06,46
1.78414249,2.9122044,0.73048945,0.61327546,4.8E-07,0.15711196,0.0013647,0.01798103,-1.26E-06,1.87E-06,-0.02316292,-0.00072976,1.621E-05,0.0522484,-0.00103465,1.532E-05,-1.247E-05,-0.07415615,-0.0042737,0.07573195,-8.871E-05,-2.227E-05,-0.11062023,-0.00100364,-8.768E-05,9.1E-06,0.14147371,0.01604141,3.63E-06,47
2.02481838,3.10551904,0.52435663,0.58077203,3E-08,0.14792679,-0.00306109,-0.00401745,-1.42E-06,1.706E-05,0.01571959,0.00557769,4.42E-05,0.08498331,0.00095019,3.964E-05,-5.452E-05,-0.11422935,-0.00797145,0.06927426,-0.00013973,-0.00019276,-0.10030962,-0.00080823,-0.00013296,-0.00013334,0.11665281,0.00573566,1.37E-06,48
1.97732039,2.5233412,0.66699604,0.5535595,-2E-07,0.16122681,0.00244321,-0.00501018,-1.25E-06,3.49E-06,0.00985704,-0.00456119,1.48E-06,0.09270254,-0.00594422,-9E-08,-8.73E-06,-0.11787294,-0.00161732,0.07763318,-5.766E-05,3.567E-05,-0.10534044,0.00322715,-2.267E-05,8E-06,0.13388006,0.01824517,3.88E-06,49
2.08742383,3.51266402,0.58557727,0.55541145,-1.2E-06,0.14860474,-0.00205059,-0.01199506,3.99E-06,1.416E-05,0.02938113,0.0054419,3.558E-05,0.09667944,0.00093312,4.722E-05,-3.199E-05,-0.12685748,-0.01055962,0.0626793,-1.461E-05,-0.00031688,-0.08986005,-0.001608,-0.0002014,-0.00021635,0.10164006,0.00904552,2.39E-06,50
2.12344099,3.15168609,0.71923879,0.51783252,-2.57E-06,0.15455484,0.00065131,-0.02021381,3.75E-06,3.79E-06,0.04090356,-0.00046125,-2.013E-05,0.10932092,-0.00315104,-8.7E-07,-1.173E-05,-0.13984641,-0.00941798,0.05711498,6.505E-05,0.00015956,-0.0757616,-0.00077164,9.5E-06,3.931E-05,0.09248807,0.02154674,6.43E-06,51
1.90802189,2.90512495,0.56256013,0.60301315,5.8E-07,0.15151123,-0.00145903,0.00746081,-3.09E-06,1.04E-05,-0.00440484,0.0035857,4.337E-05,0.06871244,0.00061076,3.732E-05,-3.346E-05,-0.09493149,-0.00676285,0.07530805,-0.00020028,-4.773E-05,-0.10948435,-0.00135169,-0.00015008,-2.155E-05,0.13426171,0.00879171,1.35E-06,52
1.5731866,3.04270889,0.68823127,0.6484011,1.1E-07,0.14902151,0.00217397,0.02983882,-1.49E-06,-6.1E-07,-0.04353493,-0.0001372,-4.77E-06,0.01809208,0.00041607,1.68E-06,6.4E-07,-0.03281205,-0.0053762,0.05219118,-3.41E-06,8.97E-06,-0.07910067,-0.00346462,9.28E-06,1.564E-05,0.10703139,0.01576523,4.43E-06,53
1.58607988,2.77347606,0.85926102,0.63339432,-1.82E-06,0.15595829,0.00186871,0.02995504,1.121E-05,-1.54E-06,-0.04462087,-0.00276582,-5E-06,0.022844,-0.00221614,-3.384E-05,1.205E-05,-0.03696964,-0.00029388,0.05919434,0.00016948,-3.876E-05,-0.08756705,0.00174802,8.324E-05,-5.296E-05,0.11696361,0.01272948,5.8E-06,54
2.16878599,3.41426458,0.44547694,0.55731309,1.31E-06,0.13587372,-0.006934,-0.01928032,-5.9E-07,4.76E-06,0.04131692,0.00898597,1.101E-05,0.09679899,0.00127281,1.104E-05,-8.42E-06,-0.12662897,-0.00744552,0.04939007,2.548E-05,-0.00015797,-0.06946368,0.00149969,-5.833E-05,-0.00010005,0.0732991,-0.00434043,5.46E-06,55
2.12371969,3.26567127,0.69882491,0.52258952,1.91E-06,0.15314906,2.49E-06,-0.01930832,-3.79E-06,-1.157E-05,0.04074815,0.00096916,-2.548E-05,0.10776725,-0.00191442,-3.826E-05,2.759E-05,-0.13880624,-0.00964539,0.05727089,1.366E-05,8.56E-06,-0.07679356,-0.00139826,0.00012752,8.235E-05,0.09017106,0.01846045,2.11E-06,56
