bondLen1,bondLen2,bondAng,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,intgErr,sampNum
2.14649288,1.91837022,2.07722806,-1.16276783,3.1E-07,-0.1141248,-0.23861554,-0.33981916,-1.69E-06,6.2E-07,0.19124358,-0.26132173,5E-06,-0.19030694,-0.22905124,2.98E-06,-5.02E-06,0.74858201,-0.00808418,1.89699472,8.82E-06,3.126E-05,-0.6983877,1.15942391,2.974E-05,3.093E-05,0.92778595,1.4789261,2.61E-06,26
2.15436555,2.01888263,1.90387569,-1.09559857,-4.2E-07,-0.14943967,-0.24473835,-0.39025754,1.46E-06,-3.41E-06,0.12654817,-0.24080909,2.46E-06,-0.26394662,-0.31468562,9.39E-06,7.4E-07,0.79763091,-0.20978248,1.93967675,-9.18E-06,8.36E-06,-0.31230407,0.88000401,-1.003E-05,1.248E-05,2.08083487,1.67125537,2.93E-06,27
1.9008882,2.02903855,1.94978244,-1.17798178,4.9E-07,-0.17033131,-0.24189575,-0.34578229,3.5E-07,5.2E-07,0.09076447,-0.26352587,-1.99E-06,-0.17654194,-0.29952782,-1.1E-06,-3.72E-06,0.71937625,-0.16856904,1.91254627,4.4E-06,1.41E-06,-0.35744297,0.988928,6.46E-06,-1.865E-05,1.72714717,1.64436125,2.9E-06,28
1.62976224,2.09998997,1.98362367,-1.20756995,-3.3E-07,-0.11928344,-0.2277533,-0.36721119,3.79E-06,1.02E-06,0.14764158,-0.26900546,-8.04E-06,-0.14015573,-0.3045536,1.156E-05,1.609E-05,0.7089526,-0.12351975,1.79942526,-3.888E-05,-2.304E-05,-0.2545721,1.04685015,2.681E-05,1.733E-05,1.32468233,1.62285321,4.46E-06,29
2.05877202,2.07397767,1.80356098,-1.09271085,-6.7E-07,-0.19201904,-0.23950371,-0.39751287,-8.3E-07,-9.2E-07,0.04589574,-0.21366357,3.42E-06,-0.28062819,-0.36059519,-3.14E-06,3.02E-06,0.70159095,-0.33072794,1.95149761,1.74E-06,-5.73E-06,-0.15650104,0.66181839,-2.129E-05,-9.45E-06,2.72171645,1.36423536,3.92E-06,30
2.05083531,1.91575747,1.62496714,-1.11405595,-1.95E-06,-0.22858482,-0.25379861,-0.40121012,-3.59E-06,-5.47E-06,0.03432218,-0.11606456,-4.49E-06,-0.36888006,-0.35474575,1.054E-05,8.9E-06,0.46775165,-0.35738873,1.91734763,-0.00013295,-0.00015708,-0.0225649,0.22912123,-0.00014243,0.00014637,3.3923804,0.36496504,7.88E-06,31
1.817021,2.15710258,1.82008655,-1.12968782,4.9E-07,-0.1974956,-0.22087203,-0.39576839,5.9E-07,-2.06E-06,0.00422498,-0.2383229,6.18E-06,-0.21875783,-0.38155522,3.45E-06,-1.331E-05,0.66450989,-0.34551553,1.90035697,3.971E-05,3.986E-05,-0.11511861,0.69879719,3.401E-05,-4.988E-05,2.54370746,1.37067215,3.29E-06,32
1.93311871,1.91030252,1.82033174,-1.17820572,1.08E-06,-0.19592494,-0.25223924,-0.36233068,2.73E-06,3.37E-06,0.05702163,-0.21832533,-8.94E-06,-0.25249576,-0.31947954,-3.14E-06,6.92E-06,0.63608196,-0.27462876,1.91783665,-1.628E-05,-1.953E-05,-0.1843655,0.69665991,3E-08,-3.69E-06,2.54055361,1.3833124,2.59E-06,33
2.04289232,1.85629342,2.0806342,-1.21182957,1.09E-06,-0.13461031,-0.23659803,-0.31496971,-4E-07,3.48E-06,0.15949451,-0.26760053,-8.27E-06,-0.16101017,-0.21771951,-4E-06,-7.72E-06,0.68601466,-0.01362988,1.8724932,5.76E-06,-4.56E-06,-0.71414458,1.15368216,3.024E-05,-3.18E-06,0.90558115,1.3959472,2.02E-06,34
1.63903254,2.1464361,2.12898904,-1.22502612,8.2E-07,-0.09606288,-0.2116787,-0.33617246,4.66E-06,-2.71E-06,0.20018498,-0.27705808,-4.4E-06,-0.07469213,-0.2505712,1.924E-05,-2.288E-05,0.66955222,0.05251412,1.77424323,1.684E-05,3.934E-05,-0.56784914,1.27380949,9.305E-05,-0.00010494,0.41660304,1.28060209,4.2E-06,35
1.58370316,1.65603095,1.85482814,-1.27528691,-1.51E-06,-0.13509103,-0.20852965,-0.40280586,-8.89E-06,3.24E-06,0.09843896,-0.24443987,-4.6E-07,-0.22285618,-0.29546985,-3.177E-05,-1.604E-05,0.58991404,-0.21697951,1.66815157,3.065E-05,-2.824E-05,-0.15317899,0.68873391,2.947E-05,-2.075E-05,1.99691672,1.31188349,1.92E-07,36
1.59317681,1.63613071,1.55007479,-1.2395507,-2.9E-07,-0.20289795,-0.21181067,-0.43788128,8.2E-07,-4.78E-06,0.01191712,-0.10419045,8.22E-06,-0.33520099,-0.32805946,3.007E-05,-5.66E-06,0.29536889,-0.31319985,1.63783387,1.163E-05,4.163E-05,0.0276836,0.06652074,5.761E-05,7.948E-05,3.00002247,-0.11934173,1.39E-05,37
1.99084128,2.05352047,1.53536733,-1.08200766,7.1E-07,-0.25759996,-0.2402097,-0.41294214,1.022E-05,7.93E-06,-0.02040225,-0.05628141,-5.692E-05,-0.3856697,-0.38894142,1.962E-05,8.497E-05,0.32757496,-0.39112475,1.89950163,-0.0003103,-0.00024977,-0.00197886,0.02332315,-0.00019025,0.00036768,3.54207791,-0.24551524,7.9E-06,38
1.66859489,1.72145221,1.54568567,-1.22251726,-1.8E-07,-0.22563492,-0.23257265,-0.41387937,3.35E-06,-5.29E-06,0.01013396,-0.09615236,5E-06,-0.33773325,-0.33098996,2.288E-05,-2.7E-06,0.29095118,-0.31549092,1.715578,6.19E-06,4.171E-05,0.02961369,0.05827931,3.807E-05,1.713E-05,3.15251726,-0.15211868,1.17E-05,39
1.84629289,1.93340798,1.71825843,-1.17587744,-4.3E-07,-0.21543858,-0.25281858,-0.3778316,-1.82E-06,1.6E-07,0.02362592,-0.1747196,7.01E-06,-0.28571673,-0.34810625,-6.75E-06,-9.7E-07,0.52043242,-0.34187428,1.9001119,2.875E-05,1.437E-05,-0.04115127,0.45590513,-1.62E-06,-3.001E-05,3.01894284,0.924513,4.47E-06,40
